Wavelength_nm;Hydrogen (H);Mercury (Hg);Sodium (Na);Neon (Ne);Argon (Ar);Helium (He);Krypton (Kr);Xenon (Xe);Cadmium (Cd);Neon-Argon Mix;Fluorescent 2-band;Fluorescent 3-band;Fluorescent 4-band;LED Violet;LED Blue;LED Cyan;LED Green;LED Yellow;LED Amber;LED Orange;LED Red;LED White Warm;LED White Neutral;LED White Cool;Solar AM1.5G;Incandescent 2700K;Tungsten 2856K (Illuminant A);Halogen 3000K;Halogen 3200K;Cadmium-Mercury (Cd/Hg);Mercury-Argon (Hg/Ar);Mercury-Neon (Hg/Ne);Neon-Argon (Ne/Ar);Argon-Krypton (Ar/Kr);Mercury-Cadmium-Argon (Hg/Cd/Ar);Mercury-Neon-Argon (Hg/Ne/Ar)
300.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1e-06;0.0;0.0;0.307419;0.001602;0.003193;0.005592;0.011003;0.0;0.0;0.0;0.0;0.0;0.0;0.0
300.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1e-06;0.0;0.0;0.31684;0.001636;0.003256;0.005695;0.011187;0.0;0.0;0.0;0.0;0.0;0.0;0.0
301.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1e-06;0.0;0.0;0.326345;0.001671;0.00332;0.005799;0.011374;0.0;0.0;0.0;0.0;0.0;0.0;0.0
301.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1e-06;0.0;0.0;0.335935;0.001707;0.003385;0.005906;0.011563;0.0;0.0;0.0;0.0;0.0;0.0;0.0
302.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1e-06;0.0;0.0;0.345608;0.001743;0.003452;0.006013;0.011754;0.0;0.0;0.0;0.0;0.0;0.0;0.0
302.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1e-06;0.0;0.0;0.355364;0.00178;0.003519;0.006122;0.011948;0.0;0.0;0.0;0.0;0.0;0.0;0.0
303.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1e-06;0.0;0.0;0.365205;0.001817;0.003587;0.006233;0.012144;0.0;0.0;0.0;0.0;0.0;0.0;0.0
303.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1e-06;0.0;0.0;0.375129;0.001855;0.003657;0.006345;0.012343;0.0;0.0;0.0;0.0;0.0;0.0;0.0
304.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1e-06;0.0;0.0;0.385136;0.001894;0.003727;0.006459;0.012544;0.0;0.0;0.0;0.0;0.0;0.0;0.0
304.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1e-06;0.0;0.0;0.395226;0.001933;0.003799;0.006574;0.012747;0.0;0.0;0.0;0.0;0.0;0.0;0.0
